iter	Passed	Remaining
652	6645	3531
653	6652	3519
654	6662	3509
655	6669	3497
656	6680	3487
657	6687	3475
658	6696	3464
659	6705	3454
660	6713	3442
661	6723	3433
662	6729	3420
663	6742	3411
664	6752	3401
665	6758	3389
666	6769	3379
667	6776	3368
668	6787	3358
669	6796	3347
670	6803	3335
671	6813	3325
672	6820	3313
673	6830	3303
674	6836	3291
675	6847	3281
676	6855	3270
677	6863	3259
678	6914	3268
679	6932	3262
680	6970	3265
681	6986	3257
682	7025	3260
683	7032	3249
684	7065	3248
685	7079	3240
686	7085	3228
687	7095	3217
688	7103	3206
689	7112	3195
690	7121	3184
691	7129	3173
692	7139	3162
693	7146	3150
694	7156	3140
695	7163	3128
696	7172	3118
697	7182	3107
698	7190	3096
699	7199	3085
700	7207	3074
701	7216	3063
702	7223	3051
703	7234	3041
704	7240	3029
705	7251	3019
706	7257	3007
707	7266	2996
708	7275	2986
709	7283	2974
710	7293	2964
711	7299	2952
712	7311	2942
713	7317	2931
714	7328	2920
715	7335	2909
716	7344	2898
717	7354	2888
718	7360	2876
719	7371	2866
720	7378	2855
721	7388	2844
722	7394	2833
723	7405	2823
724	7420	2814
725	7430	2804
726	7437	2792
727	7446	2782
728	7453	2770
729	7463	2760
730	7469	2748
731	7480	2738
732	7488	2727
733	7496	2716
734	7505	2705
735	7512	2694
736	7523	2684
737	7529	2673
738	7541	2663
739	7547	2651
740	7557	2641
741	7565	2630
742	7572	2619
743	7579	2608
744	7588	2597
745	7597	2586
746	7603	2575
747	7614	2565
748	7620	2553
749	7630	2543
750	7637	2532
751	7647	2522
752	7653	2510
753	7664	2500
754	7672	2489
755	7680	2478
756	7688	2468
757	7696	2457
758	7706	2446
759	7712	2435
760	7722	2425
761	7729	2414
762	7738	2403
763	7745	2392
764	7755	2382
765	7762	2371
766	7771	2360
767	7783	2351
768	7790	2340
769	7801	2330
770	7809	2319
771	7817	2308
772	7825	2298
773	7833	2287
774	7843	2277
775	7849	2265
776	7860	2256
777	7867	2244
778	7877	2234
779	7885	2224
780	7892	2213
781	7900	2202
782	7909	2192
783	7920	2182
784	7926	2171
785	7937	2161
786	7943	2149
787	7954	2140
788	7961	2129
789	7970	2118
790	7979	2108
791	7987	2097
792	7997	2087
793	8004	2076
794	8015	2066
795	8021	2055
796	8031	2045
797	8040	2035
798	8048	2024
799	8057	2014
800	8065	2003
801	8076	1993
802	8082	1982
803	8093	1972
804	8101	1962
805	8109	1951
806	8118	1941
807	8125	1930
808	8136	1920
809	8143	1910
810	8157	1901
811	8168	1891
812	8175	1880
813	8184	1870
814	8190	1859
815	8198	1848
816	8208	1838
817	8215	1827
818	8226	1818
819	8233	1807
820	8243	1797
821	8250	1786
822	8260	1776
823	8267	1765
824	8276	1755
825	8286	1745
826	8293	1734
827	8302	1724
828	8309	1713
829	8319	1704
830	8328	1693
831	8336	1683
832	8345	1673
833	8352	1662
834	8361	1652
835	8368	1641
836	8378	1631
837	8384	1620
838	8395	1611
839	8401	1600
840	8412	1590
841	8419	1579
842	8428	1569
843	8436	1559
844	8443	1548
845	8453	1538
846	8459	1528
847	8470	1518
848	8476	1507
849	8486	1497
850	8492	1486
851	8503	1477
852	8510	1466
853	8522	1457
854	8533	1447
855	8539	1436
856	8550	1426
857	8558	1416
858	8566	1406
859	8574	1395
860	8582	1385
861	8591	1375
862	8597	1364
863	8608	1354
864	8614	1344
865	8624	1334
866	8631	1324
867	8640	1314
868	8649	1303
869	8658	1293
870	8667	1283
871	8674	1273
872	8683	1263
873	8690	1252
874	8699	1242
875	8706	1232
876	8717	1222
877	8723	1212
878	8733	1202
879	8740	1191
880	8750	1181
881	8758	1171
882	8766	1161
883	8774	1151
884	8781	1141
885	8792	1131
886	8798	1120
887	8809	1111
888	8815	1100
889	8825	1090
890	8832	1080
891	8842	1070
892	8848	1060
893	8857	1050
894	8866	1040
895	8872	1029
896	8886	1020
897	8892	1010
898	8901	1000
899	8910	990
900	8918	979
901	8928	970
902	8934	959
903	8944	949
904	8951	939
905	8961	929
906	8967	919
907	8977	909
908	8984	899
909	8995	889
910	9003	879
911	9011	869
912	9020	859
913	9028	849
914	9038	839
915	9044	829
916	9055	819
917	9061	809
918	9070	799
919	9080	789
920	9087	779
921	9097	769
922	9104	759
923	9115	749
924	9122	739
925	9130	729
926	9139	719
927	9146	709
928	9155	699
929	9162	689
930	9170	679
931	9176	669
932	9185	659
933	9195	649
934	9205	639
935	9212	629
936	9221	620
937	9232	610
938	9240	600
939	9250	590
940	9257	580
941	9268	570
942	9280	560
943	9286	550
944	9296	541
945	9305	531
946	9312	521
947	9320	511
948	9327	501
949	9338	491
950	9344	481
951	9355	471
952	9362	461
953	9372	451
954	9379	441
955	9386	432
956	9396	422
957	9403	412
958	9414	402
959	9420	392
960	9430	382
961	9436	372
962	9446	362
963	9453	353
964	9462	343
965	9472	333
966	9525	325
967	9541	315
968	9585	306
969	9604	297
970	9615	287
971	9675	278
972	9684	268
973	9696	258
974	9708	248
975	9720	239
976	9727	228
977	9737	219
978	9743	209
979	9754	199
980	9761	189
981	9770	179
982	9779	169
983	9785	159
984	9796	149
985	9802	139
986	9813	129
987	9819	119
988	9829	109
989	9836	99
990	9846	89
991	9856	79
992	9862	69
993	9873	59
994	9879	49
995	9890	39
996	9895	29
997	9906	19
998	9914	9
999	9923	0
