model,mileage,vol_engine,fuel,price(usd)
i30,5,1498,2,21500.0
ceed,90159,1368,2,12475.0
seria-1,204000,1599,2,5500.0
qashqai,20350,1332,2,21975.0
clio,105209,1149,2,8700.0
qashqai,264998,1598,2,8475.0
fiesta,161300,1299,2,1975.0
c-klasa,268867,2148,1,5500.0
a4,215500,2393,0,3125.0
seria-3,131054,1995,1,17475.0
insignia,177000,1998,2,8225.0
focus,115534,999,2,10500.0
leon,98900,1395,2,13650.0
focus,271000,1997,1,1750.0
corsa,72000,1398,0,10900.0
passat,90000,1390,2,7975.0
focus,161800,1596,2,4225.0
a3,226700,1598,1,9475.0
corsa,136000,1398,0,9950.0
a4,275000,1968,1,5750.0
focus,215275,1596,2,3999.75
leon,138237,1595,2,4875.0
e-klasa,57000,1950,1,33725.0
octavia,224000,1984,2,3750.0
c-klasa,267000,2143,1,9475.0
astra,190000,1364,2,5175.0
a4,270500,1896,1,3247.5
golf,36454,1395,2,17499.75
a3,174000,1598,1,8725.0
passat,158000,1595,2,2450.0
seria-1,304600,1995,1,4450.0
megane,29146,1332,2,13750.0
corsa,2,1199,2,16072.5
passat,216000,1984,2,2725.0
golf,59989,1390,2,17750.0
clio,50523,1149,2,9225.0
fiesta,37400,998,2,10975.0
a6,268000,2393,0,2975.0
focus,220000,1997,1,10999.75
c-klasa,263000,2143,1,7125.0
mondeo,174000,1999,2,4725.0
mondeo,199000,1999,2,4725.0
clio,130000,1461,1,6475.0
insignia,174000,1598,2,11475.0
seria-3,70695,1998,2,29975.0
a6,191000,2393,2,6475.0
seria-3,159000,1995,1,13675.0
seria-3,324000,1995,1,2225.0
golf,106296,1197,2,8125.0
megane,64155,1798,2,33225.0
seria-1,166450,1995,2,6250.0
passat,267600,1896,1,3875.0
i30,73076,998,2,12100.0
fiesta,57104,1498,1,10975.0
octavia,94627,1395,2,15725.0
ceed,129000,1396,2,4625.0
golf,39000,999,2,14950.0
focus,325000,1498,1,7124.75
e-klasa,249000,1796,0,8475.0
clio,242000,1149,2,1249.75
a3,70181,2000,1,26437.5
astra,208000,1364,2,2975.0
corsa,169000,998,2,2225.0
passat,175000,1390,2,10475.0
passat,149000,1390,2,8250.0
mondeo,202000,2179,1,4475.0
seria-5,223000,1995,1,14999.75
a3,274000,1598,1,10225.0
megane,154000,1598,2,5725.0
octavia,230176,1896,1,5975.0
a6,199000,1968,1,22475.0
corsa,96914,1229,2,5700.0
golf,299900,1896,1,3375.0
c-klasa,110700,1799,2,3475.0
golf,232257,1595,2,4000.0
megane,9,1332,2,24725.0
sportage,137016,1998,2,7500.0
qashqai,173000,1997,2,6375.0
seria-3,106450,1599,2,8250.0
octavia,231200,1595,0,5225.0
leon,145798,1598,1,8975.0
a6,84000,1968,1,21000.0
clio,100700,1149,0,10400.0
focus,87061,1499,1,16975.0
qashqai,20000,1332,2,23375.0
a4,205000,1595,2,2975.0
a4,194000,1984,2,9725.0
seria-5,248000,2000,2,5499.75
passat,256000,1968,1,4975.0
octavia,215000,1598,1,8725.0
golf,117000,1968,1,11475.0
octavia,137920,1968,1,24975.0
corsa,110700,1598,2,3450.0
seria-3,93946,1995,1,14124.75
seria-1,98000,1995,1,6725.0
leon,152000,1984,2,3725.0
passat,115213,1798,2,18475.0
a3,248000,1968,1,4875.0
seria-5,216213,2000,2,4225.0
megane,170000,1500,1,4975.0
qashqai,175000,1598,2,6725.0
mondeo,209000,1999,2,11725.0
astra,94000,1364,2,9975.0
insignia,90160,1956,1,19000.0
astra,129000,1364,2,9475.0
octavia,1,1498,2,30737.5
astra,148000,1598,2,9237.5
focus,79000,1498,1,9809.25
leon,76777,1197,2,12475.0
mondeo,225000,1997,1,4925.0
megane,67015,1598,1,16125.0
golf,19829,1968,1,33999.75
qashqai,138640,1997,2,11975.0
astra,220000,1998,2,3475.0
mondeo,194512,1997,1,14975.0
fabia,190000,1390,2,2497.5
golf,257965,1595,2,3225.0
a3,280000,1968,1,10475.0
insignia,192421,1400,2,7475.0
c-klasa,240000,2143,1,8725.0
fiesta,174055,1242,2,5250.0
seria-3,220000,1796,0,2225.0
i30,5,998,2,19749.75
octavia,217400,1598,1,9725.0
astra,107000,1364,2,9725.0
clio,132000,1149,2,3475.0
seria-5,128822,1995,1,32902.5
mondeo,230000,1753,1,3975.0
ceed,139000,1396,2,5475.0
fabia,124000,1198,2,4625.0
clio,143914,1149,2,10950.0
focus,269515,1999,2,2725.0
astra,168000,1364,2,8725.0
a6,219500,1968,1,17475.0
octavia,126612,1395,2,19975.0
astra,133000,1598,2,4125.0
e-klasa,255690,2685,1,4475.0
e-klasa,264000,2200,1,7975.0
qashqai,136016,1997,2,6475.0
a4,261054,1968,1,2575.0
fiesta,63142,1596,2,12875.0
insignia,86078,1598,1,22300.0
a4,270000,1896,1,4725.0
a6,259866,1896,1,3350.0
octavia,180000,1197,2,4225.0
a6,215000,2393,0,4000.0
fabia,100000,999,0,8511.25
fiesta,211000,1560,1,6426.75
astra,85000,1598,2,5750.0
passat,313643,1984,2,1025.0
c-klasa,188000,1598,1,17499.75
focus,24000,1999,2,11225.0
sportage,22700,1591,2,21500.0
qashqai,139162,1598,1,14225.0
seria-5,298521,1991,2,1524.75
insignia,199609,1956,1,12875.0
fabia,68349,999,0,11799.5
astra,40419,1399,2,14225.0
c-klasa,309920,2148,1,4450.0
a4,63517,1968,1,30725.0
corsa,143000,1398,0,9225.0
a4,224616,1968,1,8725.0
a4,200654,1968,1,8725.0
fabia,4087,999,2,9975.0
seria-5,313000,1995,1,5875.0
mondeo,228000,1997,1,5725.0
seria-3,191000,1995,1,16725.0
qashqai,208000,1461,1,6450.0
c-klasa,33000,1991,2,10975.0
a4,233189,1896,1,3725.0
golf,199000,1598,1,13950.0
golf,60000,1984,2,19225.0
c-klasa,149780,2143,1,10450.0
ceed,123000,1368,2,9725.0
insignia,175500,1598,1,17225.0
leon,142354,1390,2,4725.0
megane,12,1332,2,23725.0
