model,mileage,vol_engine,fuel,price(usd)
10,161300,1299,2,1975.0
4,268867,2148,1,5500.0
1,215500,2393,0,3125.0
22,131054,1995,1,17475.0
14,177000,1998,2,8225.0
11,115534,999,2,10500.0
15,98900,1395,2,13650.0
11,271000,1997,1,1750.0
7,72000,1398,0,10900.0
19,90000,1390,2,7975.0
11,161800,1596,2,4225.0
0,226700,1598,1,9475.0
7,136000,1398,0,9950.0
1,275000,1968,1,5750.0
11,215275,1596,2,3999.75
15,138237,1595,2,4875.0
8,57000,1950,1,33725.0
18,224000,1984,2,3750.0
4,267000,2143,1,9475.0
3,190000,1364,2,5175.0
1,270500,1896,1,3247.5
12,36454,1395,2,17499.75
0,174000,1598,1,8725.0
19,158000,1595,2,2450.0
21,304600,1995,1,4450.0
16,29146,1332,2,13750.0
7,2,1199,2,16072.5
19,216000,1984,2,2725.0
12,59989,1390,2,17750.0
6,50523,1149,2,9225.0
10,37400,998,2,10975.0
2,268000,2393,0,2975.0
11,220000,1997,1,10999.75
4,263000,2143,1,7125.0
17,174000,1999,2,4725.0
17,199000,1999,2,4725.0
6,130000,1461,1,6475.0
14,174000,1598,2,11475.0
22,70695,1998,2,29975.0
2,191000,2393,2,6475.0
22,159000,1995,1,13675.0
22,324000,1995,1,2225.0
12,106296,1197,2,8125.0
16,64155,1798,2,33225.0
21,166450,1995,2,6250.0
19,267600,1896,1,3875.0
13,73076,998,2,12100.0
10,57104,1498,1,10975.0
18,94627,1395,2,15725.0
5,129000,1396,2,4625.0
12,39000,999,2,14950.0
11,325000,1498,1,7124.75
8,249000,1796,0,8475.0
6,242000,1149,2,1249.75
0,70181,2000,1,26437.5
3,208000,1364,2,2975.0
7,169000,998,2,2225.0
19,175000,1390,2,10475.0
19,149000,1390,2,8250.0
17,202000,2179,1,4475.0
23,223000,1995,1,14999.75
0,274000,1598,1,10225.0
16,154000,1598,2,5725.0
18,230176,1896,1,5975.0
2,199000,1968,1,22475.0
7,96914,1229,2,5700.0
12,299900,1896,1,3375.0
4,110700,1799,2,3475.0
12,232257,1595,2,4000.0
16,9,1332,2,24725.0
24,137016,1998,2,7500.0
20,173000,1997,2,6375.0
22,106450,1599,2,8250.0
18,231200,1595,0,5225.0
15,145798,1598,1,8975.0
2,84000,1968,1,21000.0
6,100700,1149,0,10400.0
11,87061,1499,1,16975.0
20,20000,1332,2,23375.0
1,205000,1595,2,2975.0
1,194000,1984,2,9725.0
23,248000,2000,2,5499.75
19,256000,1968,1,4975.0
18,215000,1598,1,8725.0
12,117000,1968,1,11475.0
18,137920,1968,1,24975.0
7,110700,1598,2,3450.0
22,93946,1995,1,14124.75
21,98000,1995,1,6725.0
15,152000,1984,2,3725.0
19,115213,1798,2,18475.0
0,248000,1968,1,4875.0
23,216213,2000,2,4225.0
16,170000,1500,1,4975.0
20,175000,1598,2,6725.0
17,209000,1999,2,11725.0
3,94000,1364,2,9975.0
14,90160,1956,1,19000.0
3,129000,1364,2,9475.0
18,1,1498,2,30737.5
3,148000,1598,2,9237.5
11,79000,1498,1,9809.25
15,76777,1197,2,12475.0
17,225000,1997,1,4925.0
16,67015,1598,1,16125.0
12,19829,1968,1,33999.75
20,138640,1997,2,11975.0
3,220000,1998,2,3475.0
17,194512,1997,1,14975.0
9,190000,1390,2,2497.5
12,257965,1595,2,3225.0
0,280000,1968,1,10475.0
14,192421,1400,2,7475.0
4,240000,2143,1,8725.0
10,174055,1242,2,5250.0
22,220000,1796,0,2225.0
13,5,998,2,19749.75
18,217400,1598,1,9725.0
3,107000,1364,2,9725.0
6,132000,1149,2,3475.0
23,128822,1995,1,32902.5
17,230000,1753,1,3975.0
5,139000,1396,2,5475.0
9,124000,1198,2,4625.0
6,143914,1149,2,10950.0
11,269515,1999,2,2725.0
3,168000,1364,2,8725.0
2,219500,1968,1,17475.0
18,126612,1395,2,19975.0
3,133000,1598,2,4125.0
8,255690,2685,1,4475.0
8,264000,2200,1,7975.0
20,136016,1997,2,6475.0
